id,code,name
hr_gt_municipio_613,613,Pueblo Nuevo Viñas
hr_gt_municipio_1801,1801,Puerto Barrios
hr_gt_municipio_1508,1508,Purulhá
hr_gt_municipio_2217,2217,Quesada
hr_gt_municipio_901,901,Quetzaltenango
hr_gt_municipio_2009,2009,Quezaltepeque
hr_gt_municipio_1503,1503,Rabinal
hr_gt_municipio_1617,1617,Raxruhá
hr_gt_municipio_1101,1101,Retalhuleu
hr_gt_municipio_1228,1228,Río Blanco
hr_gt_municipio_1020,1020,Río Bravo
hr_gt_municipio_1903,1903,Río Hondo
hr_gt_municipio_1416,1416,Sacapulas
hr_gt_municipio_1501,1501,Salamá
hr_gt_municipio_902,902,Salcajá
hr_gt_municipio_1008,1008,Samayac
hr_gt_municipio_203,203,San Agustín Acasaguastlán
hr_gt_municipio_1611,1611,San Agustín Lanquín
hr_gt_municipio_1704,1704,San Andrés
hr_gt_municipio_413,413,San Andrés Itzapa
hr_gt_municipio_1414,1414,San Andrés Sajcabajá
hr_gt_municipio_709,709,San Andrés Semetabaj
hr_gt_municipio_1106,1106,San Andrés Villa Seca
hr_gt_municipio_804,804,San Andrés Xecul
hr_gt_municipio_315,315,San Antonio Aguas Calientes
hr_gt_municipio_1324,1324,San Antonio Huista
hr_gt_municipio_1408,1408,San Antonio Ilotenango
hr_gt_municipio_208,208,San Antonio la Paz
hr_gt_municipio_712,712,San Antonio Palopó
hr_gt_municipio_1203,1203,San Antonio Sacatepéquez
hr_gt_municipio_1010,1010,San Antonio Suchitepéquez
hr_gt_municipio_808,808,San Bartolo Aguas Calientes
hr_gt_municipio_1417,1417,San Bartolomé Jocotenango
hr_gt_municipio_307,307,San Bartolomé Milpas Altas
hr_gt_municipio_1703,1703,San Benito
hr_gt_municipio_1004,1004,San Bernardino
hr_gt_municipio_2105,2105,San Carlos Alzatate
hr_gt_municipio_904,904,San Carlos Sija
hr_gt_municipio_204,204,San Cristóbal Acasaguastlán
hr_gt_municipio_1225,1225,San Cristóbal Cucho
hr_gt_municipio_802,802,San Cristóbal Totonicapán
hr_gt_municipio_1603,1603,San Cristóbal Verapaz
hr_gt_municipio_1908,1908,San Diego
hr_gt_municipio_1105,1105,San Felipe
hr_gt_municipio_1706,1706,San Francisco
hr_gt_municipio_803,803,San Francisco El Alto
hr_gt_municipio_918,918,San Francisco La Unión
hr_gt_municipio_1003,1003,San Francisco Zapotitlán
hr_gt_municipio_1012,1012,San Gabriel
hr_gt_municipio_1329,1329,San Gaspar Ixchil
hr_gt_municipio_1309,1309,San Ildefonso Ixtahuacán
hr_gt_municipio_2010,2010,San Jacinto
hr_gt_municipio_1507,1507,San Jerónimo
hr_gt_municipio_1911,1911,San Jorge
hr_gt_municipio_509,509,San José
hr_gt_municipio_1702,1702,San José
hr_gt_municipio_402,402,San José  Poaquil
hr_gt_municipio_2216,2216,San José Acatempa
hr_gt_municipio_702,702,San José Chacayá
hr_gt_municipio_104,104,San José del Golfo
hr_gt_municipio_1005,1005,San José el Ídolo
hr_gt_municipio_1214,1214,San José el Rodeo
hr_gt_municipio_2002,2002,San José La Arada
hr_gt_municipio_1021,1021,San José La Máquina
hr_gt_municipio_1224,1224,San José Ojetenam
hr_gt_municipio_103,103,San José Pinula
hr_gt_municipio_314,314,San Juan Alotenango
hr_gt_municipio_1316,1316,San Juan Atitán
hr_gt_municipio_1016,1016,San Juan Bautista
hr_gt_municipio_1610,1610,San Juan Chamelco
hr_gt_municipio_1411,1411,San Juan Cotzal
hr_gt_municipio_2003,2003,San Juan Ermita
hr_gt_municipio_1323,1323,San Juan Ixcoy
hr_gt_municipio_717,717,San Juan La Laguna
hr_gt_municipio_903,903,San Juan Olintepeque
hr_gt_municipio_909,909,San Juan Ostuncalco
hr_gt_municipio_110,110,San Juan Sacatepéquez
hr_gt_municipio_607,607,San Juan Tecuaco
hr_gt_municipio_1007,1007,San Lorenzo
hr_gt_municipio_1229,1229,San Lorenzo
hr_gt_municipio_308,308,San Lucas Sacatepéquez
hr_gt_municipio_713,713,San Lucas Tolimán
hr_gt_municipio_1709,1709,San Luis
hr_gt_municipio_2103,2103,San Luis Jilotepeque
hr_gt_municipio_2104,2104,San Manuel Chaparrón
hr_gt_municipio_1201,1201,San Marcos
hr_gt_municipio_716,716,San Marcos La Laguna
hr_gt_municipio_403,403,San Martín Jilotepeque
hr_gt_municipio_912,912,San Martín Sacatepéquez
hr_gt_municipio_1104,1104,San Martín Zapotitlán
hr_gt_municipio_910,910,San Mateo
hr_gt_municipio_1318,1318,San Mateo Ixtatán
hr_gt_municipio_1313,1313,San Miguel Acatán
hr_gt_municipio_1502,1502,San Miguel Chicaj
hr_gt_municipio_313,313,San Miguel Dueñas
hr_gt_municipio_1205,1205,San Miguel Ixtahuacán
hr_gt_municipio_1011,1011,San Miguel Panán
hr_gt_municipio_408,408,San Miguel Pochuta
hr_gt_municipio_908,908,San Miguel Siguilá
hr_gt_municipio_1415,1415,San Miguel Uspantán
hr_gt_municipio_1219,1219,San Pablo
hr_gt_municipio_1009,1009,San Pablo Jocopilas
hr_gt_municipio_715,715,San Pablo La Laguna
hr_gt_municipio_107,107,San Pedro Ayampuc
hr_gt_municipio_1609,1609,San Pedro Carchá
hr_gt_municipio_1409,1409,San Pedro Jocopilas
hr_gt_municipio_718,718,San Pedro La Laguna
hr_gt_municipio_1306,1306,San Pedro Necta
hr_gt_municipio_2102,2102,San Pedro Pinula
hr_gt_municipio_109,109,San Pedro Sacatepéquez
hr_gt_municipio_1202,1202,San Pedro Sacatepéquez
hr_gt_municipio_1308,1308,San Pedro Soloma
hr_gt_municipio_412,412,San Pedro Yepocapa
hr_gt_municipio_1314,1314,San Rafael La Independencia
hr_gt_municipio_605,605,San Rafael Las Flores
hr_gt_municipio_1328,1328,San Rafael Petzal
hr_gt_municipio_1211,1211,San Rafael Pie de la Cuesta
hr_gt_municipio_111,111,San Raymundo
hr_gt_municipio_1102,1102,San Sebastián
hr_gt_municipio_1325,1325,San Sebastián Coatán
hr_gt_municipio_1320,1320,San Sebastián Huehuetenango
hr_gt_municipio_512,512,San Vicente Pacaya
hr_gt_municipio_207,207,Sanarate
hr_gt_municipio_206,206,Sansare
hr_gt_municipio_1707,1707,Santa Ana
hr_gt_municipio_1331,1331,Santa Ana Huista
hr_gt_municipio_405,405,Santa Apolonia
hr_gt_municipio_1015,1015,Santa Bárbara
hr_gt_municipio_1310,1310,Santa Bárbara
hr_gt_municipio_316,316,Santa Catarina Barahona
hr_gt_municipio_706,706,Santa Catarina Ixtahuacán
hr_gt_municipio_1616,1616,Santa Catarina La Tinta
hr_gt_municipio_2203,2203,Santa Catarina Mita
hr_gt_municipio_711,711,Santa Catarina Palopó
hr_gt_municipio_102,102,Santa Catarina Pinula
hr_gt_municipio_707,707,Santa Clara La Laguna
hr_gt_municipio_410,410,Santa Cruz Balanyá
hr_gt_municipio_1326,1326,Santa Cruz Barrillas
hr_gt_municipio_1401,1401,Santa Cruz del Quiché
hr_gt_municipio_714,714,Santa Cruz La Laguna
hr_gt_municipio_1103,1103,Santa Cruz Muluá
hr_gt_municipio_612,612,Santa Cruz Naranjo
hr_gt_municipio_1602,1602,Santa Cruz Verapaz
hr_gt_municipio_1317,1317,Santa Eulalia
hr_gt_municipio_502,502,Santa Lucía Cotzumalguapa
hr_gt_municipio_807,807,Santa Lucía La Reforma
hr_gt_municipio_309,309,Santa Lucía Milpas Altas
hr_gt_municipio_704,704,Santa Lucía Utatlán
hr_gt_municipio_1612,1612,Santa María Cahabón
hr_gt_municipio_806,806,Santa María Chiquimula
hr_gt_municipio_311,311,Santa María de Jesús
hr_gt_municipio_610,610,Santa María Ixhuatán
hr_gt_municipio_1413,1413,Santa María Nebaj
hr_gt_municipio_703,703,Santa María Visitación
hr_gt_municipio_603,603,Santa Rosa de Lima
hr_gt_municipio_719,719,Santiago Atitlán
hr_gt_municipio_1330,1330,Santiago Chimaltenango
hr_gt_municipio_306,306,Santiago Sacatepéquez
hr_gt_municipio_1006,1006,Santo Domingo Suchitepéquez
hr_gt_municipio_305,305,Santo Domingo Xenacoj
hr_gt_municipio_1017,1017,Santo Tomas la Unión
hr_gt_municipio_1406,1406,Santo TomásChichicastenango
hr_gt_municipio_1710,1710,Sayaxché
hr_gt_municipio_1608,1608,Senahú
hr_gt_municipio_905,905,Sibilia
hr_gt_municipio_1208,1208,Sibinal
hr_gt_municipio_1226,1226,Sipacapa
hr_gt_municipio_514,514,Sipacate
hr_gt_municipio_504,504,Siquinalá
hr_gt_municipio_701,701,Sololá
hr_gt_municipio_304,304,Sumpango
hr_gt_municipio_1207,1207,Tacaná
hr_gt_municipio_1604,1604,Tactic
hr_gt_municipio_1209,1209,Tajumulco
hr_gt_municipio_1605,1605,Tamahú
hr_gt_municipio_609,609,Taxisco
hr_gt_municipio_406,406,Tecpán Guatemala
hr_gt_municipio_1321,1321,Tectitán
hr_gt_municipio_1905,1905,Teculután
hr_gt_municipio_1210,1210,Tejutla
hr_gt_municipio_506,506,Tiquisate
hr_gt_municipio_1315,1315,Todos Santos Cuchumatán
hr_gt_municipio_801,801,Totonicapán
hr_gt_municipio_1606,1606,Tucurú
hr_gt_municipio_1332,1332,Unión Cantinil
hr_gt_municipio_1906,1906,Usumatlán
hr_gt_municipio_116,116,Villa Canales
hr_gt_municipio_115,115,Villa Nueva
hr_gt_municipio_2206,2206,Yupiltepeque
hr_gt_municipio_1901,1901,Zacapa
hr_gt_municipio_1404,1404,Zacualpa
hr_gt_municipio_2210,2210,Zapotitlán
hr_gt_municipio_415,415,Zaragoza
hr_gt_municipio_916,916,Zunil
hr_gt_municipio_1018,1018,Zunilito
hr_gt_municipio_0,0,No aplica
